symbol,settlement_date,short_shares,previous_short_shares,avg_daily_volume,days_to_cover,change_percent
LDOS,2021-04-30,1831983,1403198,849979,2.16,30.56
LDOS,2024-12-13,3164352,2593001,1326837,2.38,22.03
LDOS,2023-04-28,1863551,1836291,577040,3.23,1.48
LDOS,2021-04-15,1403198,1482846,685859,2.05,-5.37
LDOS,2023-05-15,1638472,1863551,1682866,1,-12.08
LDOS,2024-12-31,3059910,3164352,1275294,2.4,-3.3
LDOS,2024-10-15,1408968,1423616,590701,2.39,-1.03
LDOS,2024-11-15,1913841,1488199,1831263,1.05,28.6
LDOS,2023-05-31,1780284,1638472,1250485,1.42,8.66
LDOS,2024-09-30,1423616,1622122,822711,1.73,-12.24
LDOS,2021-03-31,1482846,2107571,793681,1.87,-29.64
LDOS,2024-10-31,1488199,1408968,867295,1.72,5.62
LDOS,2023-06-15,1539283,1780284,776368,1.98,-13.54
LDOS,2021-03-15,2107571,2091102,969501,2.17,0.79
LDOS,2024-07-15,1410811,1451593,647023,2.18,-2.81
LDOS,2024-09-13,1622122,1404997,842703,1.92,15.45
LDOS,2024-08-15,1376535,1499328,898262,1.53,-8.19
LDOS,2024-07-31,1499328,1410811,1079778,1.39,6.27
LDOS,2024-08-30,1404997,1376535,595513,2.36,2.07
LDOS,2021-02-26,2091102,1636028,1291342,1.62,27.82
LDOS,2024-05-31,2273528,2364974,776470,2.93,-3.87
LDOS,2024-05-15,2364974,1495077,1228072,1.93,58.18
LDOS,2024-04-30,1495077,1417326,1232207,1.21,5.49
LDOS,2023-06-30,1667308,1539283,1033518,1.61,8.32
LDOS,2024-04-15,1417326,1331189,682796,2.08,6.47
LDOS,2024-06-14,1226059,2273528,734011,1.67,-46.07
LDOS,2023-07-31,1727088,1836894,804880,2.15,-5.98
LDOS,2024-06-28,1451593,1226059,1092296,1.33,18.4
LDOS,2024-03-15,965684,1050743,829285,1.16,-8.1
LDOS,2024-03-28,1331189,965684,718839,1.85,37.85
LDOS,2023-10-13,1428181,1340045,707772,2.02,6.58
LDOS,2023-08-15,1820981,1727088,862891,2.11,5.44
LDOS,2021-02-12,1636028,1880865,637380,2.57,-13.02
LDOS,2023-08-31,1311634,1820981,915924,1.43,-27.97
LDOS,2024-02-15,1028448,1211103,1059371,1,-15.08
LDOS,2023-07-14,1836894,1667308,750259,2.45,10.17
LDOS,2023-10-31,1490302,1428181,688836,2.16,4.35
LDOS,2023-09-15,1589750,1311634,720434,2.21,21.2
LDOS,2024-02-29,1050743,1028448,1097025,1,2.17
LDOS,2024-01-31,1211103,1311433,550134,2.2,-7.65
LDOS,2023-12-15,1099931,1117704,833299,1.32,-1.59
LDOS,2023-12-29,1326375,1099931,546185,2.43,20.59
LDOS,2024-01-12,1311433,1326375,800193,1.64,-1.13
LDOS,2023-11-15,1165096,1490302,910548,1.28,-21.82
LDOS,2023-09-29,1340045,1589750,512459,2.61,-15.71
LDOS,2023-11-30,1117704,1165096,583434,1.92,-4.07
LDOS,2021-01-29,1880865,1688899,611545,3.08,11.37
LDOS,2021-01-15,1688899,1475472,631020,2.68,14.46
LDOS,2020-12-31,1475472,2360956,668459,2.21,-37.51
LDOS,2020-12-15,2360956,2188001,655895,3.6,7.9
LDOS,2020-11-30,2188001,1975817,805681,2.72,10.74
LDOS,2020-11-13,1975817,1594156,897081,2.2,23.94
LDOS,2020-10-15,1692102,1967822,678707,2.49,-14.01
LDOS,2020-10-30,1594156,1692102,656118,2.43,-5.79
LDOS,2020-09-30,1967822,2017870,877818,2.24,-2.48
LDOS,2020-09-15,2017870,2291639,833771,2.42,-11.95
LDOS,2020-08-31,2291639,2725992,720179,3.18,-15.93
LDOS,2020-08-14,2725992,2488397,1252142,2.18,9.55
LDOS,2020-07-31,2488397,2583872,757556,3.28,-3.7
LDOS,2020-07-15,2583872,2507154,1238446,2.09,3.06
LDOS,2020-06-30,2507154,2701218,1164844,2.15,-7.18
LDOS,2020-06-15,2701218,2507071,801296,3.37,7.74
LDOS,2020-05-29,2507071,2806616,806483,3.11,-10.67
LDOS,2020-05-15,2806616,3206512,985153,2.85,-12.47
LDOS,2020-04-15,3569082,2781430,1247514,2.86,28.32
LDOS,2020-04-30,3189994,3569082,1042149,3.06,-10.62
LDOS,2020-03-31,2781430,3002045,1465495,1.9,-7.35
LDOS,2020-03-13,3002045,3262489,1281932,2.34,-7.98
LDOS,2020-02-14,3730178,3313898,829395,4.5,12.56
LDOS,2020-02-28,3262489,3730178,1468031,2.22,-12.54
LDOS,2020-01-31,3313898,3561962,586372,5.65,-6.96
LDOS,2019-11-29,4283393,4519305,801698,5.34,-5.22
LDOS,2019-08-30,3834177,5803797,1309720,2.93,-33.94
LDOS,2020-01-15,3561962,3894496,694230,5.13,-8.54
LDOS,2019-08-15,5803797,3829204,4761303,1.22,51.57
LDOS,2019-07-15,3372659,3577297,666771,5.06,-5.72
LDOS,2019-12-31,3894496,5152206,925696,4.21,-24.41
LDOS,2019-10-31,4485482,4033548,1256796,3.57,11.2
LDOS,2019-09-13,2603768,3834177,1264055,2.06,-32.09
LDOS,2019-07-31,3829204,3372659,951738,4.02,13.54
LDOS,2019-12-13,5152206,4283393,800289,6.44,20.28
LDOS,2019-10-15,4033548,2735494,1202457,3.35,47.45
LDOS,2019-06-28,3577297,3044503,1266331,2.82,17.5
LDOS,2019-11-15,4519305,4485482,1005177,4.5,0.75
LDOS,2019-09-30,2735494,2603768,1208185,2.26,5.06
LDOS,2019-06-14,3044503,3158516,1182421,2.57,-3.61
LDOS,2019-05-15,3178993,3781133,1098279,2.89,-15.92
LDOS,2019-05-31,3158516,3178993,1255862,2.52,-0.64
LDOS,2019-04-30,3781133,3278175,1127341,3.35,15.34
LDOS,2019-04-15,3278175,3430773,759516,4.32,-4.45
LDOS,2018-10-15,3116005,2862232,670541,4.65,8.87
LDOS,2019-03-15,3281247,3439078,959033,3.42,-4.59
