symbol,as_of,prior_bars,available,unavailable_reason,eligible,side,tier,signal,score,direction,analog_direction,probability_up,edge_points,evidence,agreement,grade,brier_skill,expected_move,adverse_move,reward_risk,typical,band_low,band_high,plan_action,stop_pct,target_pct,entry_date,entry_price,exit_date,exit_price,fwd_return,fwd_close_to_close,min_low_pct,max_high_pct,spy_fwd_return,runtime_s
WYNN,2025-01-13,5590,1,,0,,,,,neutral,neutral,51,-0.5,63,100,mixed,-4.3,,,,0.42,-11.16,14.45,wait,,,2025-01-14,80.407162,2025-02-12,77.243309,-3.9348,-3.6395,-5.9206,10.0147,3.2514,6.15
WYNN,2026-06-23,5951,1,,0,,,,,neutral,neutral,49,-1.3,65,100,mixed,-5.0,,,,-0.3,-10.96,15.75,wait,,,2026-06-24,104.150002,2026-07-23,96.769997,-7.0859,-7.0859,-11.1666,2.0163,0.4094,5.91
CIIT,2017-10-06,1006,1,,0,short,speculative,WEAK SHORT,44.2,bearish,bearish,25,-4.6,44,100,mixed,3.2,38.89,14.62,2.66,-38.89,-41.67,14.62,avoid_or_exit,,,2017-10-09,2.1,2017-11-06,2.1,0.0,0.0,0.0,33.3333,1.6573,0.17
CIIT,2017-11-10,1031,1,,0,,,,,neutral,neutral,26,-3.6,41,100,mixed,3.5,,,,-18.18,-54.41,8.96,wait,,,2017-11-13,2.8,2017-12-12,2.1,-25.0,-25.0,-25.0,0.0,3.6804,0.19
CIIT,2018-02-23,1101,1,,0,,,,,neutral,neutral,31,-0.7,33,100,mixed,0.9,,,,-14.43,-37.93,2.99,wait,,,2018-02-26,1.4,2018-03-26,1.4,0.0,0.0,0.0,0.0,-3.5365,0.3
CIIT,2018-09-27,1251,1,,0,,,,,neutral,neutral,35,5.8,52,79,mixed,-1.4,,,,0.0,-37.5,108.0,wait,,,2018-09-28,2.695,2018-10-26,4.41,63.6364,63.6364,0.0,66.2338,-8.5037,0.56
CIIT,2019-02-04,1338,1,,1,short,moderate,SHORT,65.3,bearish,bearish,24,-8.2,59,100,mixed,-0.5,20.0,0.0,2.08,-20.0,-38.46,0.0,avoid_or_exit,,,2019-02-05,12.6,2019-03-06,6.3,-50.0,-50.0,-50.0,27.2222,1.7949,0.57
CIIT,2019-05-21,1412,1,,0,,,,,neutral,neutral,32,-1.8,45,79,mixed,0.1,,,,0.0,-46.03,66.67,wait,,,2019-05-22,19.459999,2019-06-20,20.93,7.554,19.6,-10.0719,9.7122,3.6469,0.72
CIIT,2019-08-08,1467,1,,0,,,,,neutral,neutral,37,2.5,47,79,mixed,-3.8,,,,0.0,-33.33,66.67,wait,,,2019-08-09,14.07,2019-09-09,11.9,-15.4229,-15.4229,-37.8109,0.0,1.9209,0.77
CIIT,2019-08-29,1482,1,,0,,,,,neutral,neutral,36,2.5,42,79,weak,-8.6,,,,0.0,0.0,66.67,wait,,,2019-08-30,9.8,2019-09-30,10.5,7.1429,0.0,-28.5714,42.8571,1.3325,0.77
