symbol,as_of,prior_bars,available,unavailable_reason,eligible,side,tier,signal,score,direction,analog_direction,probability_up,edge_points,evidence,agreement,grade,brier_skill,expected_move,adverse_move,reward_risk,typical,band_low,band_high,plan_action,stop_pct,target_pct,entry_date,entry_price,exit_date,exit_price,fwd_return,fwd_close_to_close,min_low_pct,max_high_pct,spy_fwd_return,runtime_s
SWKS,2025-03-10,10205,1,,1,long,speculative,WEAK BUY,33.3,bullish,bullish,63,6.3,80,100,mixed,1.3,1.52,9.66,0.16,1.52,-9.66,12.39,wait,,,2025-03-11,68.273554,2025-04-08,46.73798,-31.5431,-31.7141,-33.3101,0.2644,-10.9808,8.27
SWKS,2025-03-11,10206,1,,1,short,speculative,WEAK SHORT,42.7,bearish,bearish,43,-13.5,95,100,mixed,-1.0,2.23,14.23,0.16,-2.23,-12.4,14.23,avoid_or_exit,,,2025-03-12,65.072194,2025-04-09,57.254028,-12.0146,-11.6664,-30.0292,4.3942,-2.1167,7.92
SWKS,2025-03-12,10207,1,,0,,,,,neutral,neutral,53,-4.5,74,100,mixed,-1.1,,,,0.1,-10.61,9.94,wait,,,2025-03-13,64.226736,2025-04-10,51.14579,-20.3668,-20.6485,-29.1081,5.7684,-5.7892,7.56
SWKS,2025-03-13,10208,1,,1,short,speculative,WEAK SHORT,49.2,bearish,bearish,43,-14.4,95,100,mixed,-1.1,2.23,9.94,0.22,-2.23,-8.26,9.94,avoid_or_exit,,,2025-03-14,64.777698,2025-04-11,53.710682,-17.0846,-15.8506,-29.7111,4.8688,-3.6978,7.59
SWKS,2025-03-14,10209,1,,1,short,speculative,WEAK SHORT,44.7,bearish,bearish,46,-11.9,95,100,mixed,-0.4,3.09,12.39,0.25,-3.09,-10.61,12.39,avoid_or_exit,,,2025-03-17,65.984147,2025-04-14,54.831627,-16.9018,-16.83,-30.9963,2.9513,-3.9177,7.68
SWKS,2025-03-17,10210,1,,0,,,,,neutral,neutral,55,1.4,65,100,mixed,0.2,,,,1.52,-9.6,15.18,wait,,,2025-03-18,66.896104,2025-04-15,54.527645,-18.4891,-18.6738,-31.9369,1.278,-4.5278,7.55
SCHL,2019-05-06,6850,1,,0,short,speculative,WEAK SHORT,33.0,bearish,bearish,48,-7.0,82,100,mixed,-2.8,0.62,8.61,0.07,-0.62,-12.79,8.61,avoid_or_exit,,,2019-05-07,34.848534,2019-06-05,28.448126,-18.3664,-19.118,-23.2576,0.3424,-2.478,7.85
SCHL,2019-05-07,6851,1,,0,,,,,neutral,neutral,51,-1.2,65,100,mixed,-1.2,,,,0.4,-14.3,13.83,wait,,,2019-05-08,34.107079,2019-06-06,27.911207,-18.1659,-18.3292,-21.5892,1.5242,-0.9495,7.74
SCHL,2019-05-08,6852,1,,0,,,,,neutral,neutral,61,2.0,67,100,mixed,-4.9,,,,5.93,-8.67,11.22,wait,,,2019-05-09,34.098543,2019-06-07,27.979387,-17.9455,-18.4956,-21.5696,0.05,0.8485,7.69
SCHL,2019-05-09,6853,1,,1,long,moderate,BUY,64.7,bullish,bullish,73,14.2,95,100,mixed,-4.9,6.84,5.26,1.3,6.84,-5.26,13.4,consider_buying,-7.6,9.4,2019-05-10,33.604243,2019-06-10,28.073133,-16.4596,-16.7762,-20.416,0.5326,1.1729,7.71
